date	Group1	Group2	Group3	Group4	Group5
19940101	511.93	217.64	210.43	144.04	187.67
19950101	299.89	212.24	179.29	195.06	156.71
19960101	182.41	238.45	155.58	100.13	115.52
19970101	242.36	250.34	234.96	166.68	542.96
19980101	143.69	231.63	160.54	81.68	97.6
19990101	238.99	300.47	171.49	202.11	99.85
20000101	232.22	201.01	136	87.44	115.94
20010101	319.47	326.13	140.03	119.7	99.38
20020101	250.35	227.32	145.93	142.73	122.9
20030101	280.6	281.8	160.67	77.11	123.45
20040101	356.71	250.73	140.66	101.26	98.06
20050101	350.76	228.87	112.52	93.94	94.95
20060101	212.27	224.93	148.91	132.36	85.12
20070101	405.31	398.77	153.94	98.01	90.53
20080101	255.05	272.69	185.85	146.08	158.72
20090101	289.17	435.05	208.52	125.78	133.04
20100101	463.58	328.54	178.54	147.36	148.55
20110101	269.14	325.06	173.56	161.19	105.87
20120101	307.16	394.79	209.52	137.34	144.12
20130101	363.91	358.74	197.14	167.69	136.97
